docname,topic,proportion
GuruGranth_page_566.txt,012,0.051824
GuruGranth_page_566.txt,007,0.025711
Bible_page_1042.txt,014,0.376336
Bible_page_1042.txt,005,0.26426
Bible_page_1042.txt,009,0.198229
Bible_page_1042.txt,023,0.161175
GuruGranth_page_7.txt,004,0.444752
GuruGranth_page_7.txt,001,0.19234
GuruGranth_page_7.txt,007,0.128317
GuruGranth_page_7.txt,012,0.118443
GuruGranth_page_7.txt,025,0.056639
GuruGranth_page_7.txt,010,0.047345
GuruGranth_page_7.txt,003,0.012164
Quran_page_50.txt,030,0.801018
Quran_page_50.txt,003,0.118707
Quran_page_50.txt,000,0.048089
Quran_page_50.txt,012,0.032186
Bible_page_692.txt,029,0.754418
Bible_page_692.txt,009,0.205358
Bible_page_692.txt,012,0.040224
Bible_page_371.txt,022,0.294378
Bible_page_371.txt,009,0.291092
Bible_page_371.txt,002,0.281043
Bible_page_371.txt,010,0.133487
GuruGranth_page_1408.txt,021,0.625473
GuruGranth_page_1408.txt,012,0.286122
GuruGranth_page_1408.txt,001,0.04554
GuruGranth_page_1408.txt,015,0.042864
Bible_page_1371.txt,027,0.838527
Bible_page_1371.txt,025,0.089001
Bible_page_1371.txt,000,0.072472
GuruGranth_page_679.txt,021,0.53229
GuruGranth_page_679.txt,001,0.327942
GuruGranth_page_679.txt,012,0.139767
Quran_page_5.txt,030,0.852269
Quran_page_5.txt,015,0.084335
Quran_page_5.txt,000,0.063396
GuruGranth_page_788.txt,004,0.681906
GuruGranth_page_788.txt,012,0.15777
GuruGranth_page_788.txt,001,0.076989
GuruGranth_page_788.txt,003,0.050565
GuruGranth_page_788.txt,000,0.032771
GuruGranth_page_864.txt,021,0.672671
GuruGranth_page_864.txt,012,0.201127
GuruGranth_page_864.txt,001,0.126202
Taoist_page_26.txt,012,0.315011
Taoist_page_26.txt,031,0.295979
Taoist_page_26.txt,007,0.203684
Taoist_page_26.txt,011,0.185326
Bible_page_1147.txt,000,0.914194
Bible_page_1147.txt,011,0.085806
GuruGranth_page_1003.txt,012,0.424252
GuruGranth_page_1003.txt,001,0.273377
GuruGranth_page_1003.txt,021,0.124983
GuruGranth_page_1003.txt,004,0.091033
GuruGranth_page_1003.txt,006,0.086356
GuruGranth_page_806.txt,001,0.539474
GuruGranth_page_806.txt,021,0.295934
GuruGranth_page_806.txt,006,0.090091
GuruGranth_page_806.txt,004,0.074501
Bible_page_877.txt,005,0.656923
Bible_page_877.txt,003,0.343077
Bible_page_1084.txt,008,0.416004
Bible_page_1084.txt,014,0.392261
Bible_page_1084.txt,025,0.110904
Bible_page_1084.txt,029,0.080831
Bible_page_625.txt,029,0.400601
Bible_page_625.txt,003,0.269401
Bible_page_625.txt,024,0.176754
Bible_page_625.txt,005,0.153244
Bible_page_83.txt,002,0.624946
Bible_page_83.txt,032,0.201223
Bible_page_83.txt,009,0.173831
GuruGranth_page_453.txt,006,0.565389
GuruGranth_page_453.txt,001,0.268507
GuruGranth_page_453.txt,021,0.13725
GuruGranth_page_453.txt,005,0.028854
Bible_page_278.txt,013,0.314583
Bible_page_278.txt,022,0.284604
Bible_page_278.txt,001,0.225823
Bible_page_278.txt,026,0.122522
Bible_page_278.txt,033,0.052468
Quran_page_10.txt,030,0.754386
Quran_page_10.txt,011,0.091647
Quran_page_10.txt,003,0.06204
Quran_page_10.txt,020,0.053333
Quran_page_10.txt,006,0.038594
GuruGranth_page_943.txt,004,0.844772
GuruGranth_page_943.txt,012,0.059098
GuruGranth_page_943.txt,007,0.051635
GuruGranth_page_943.txt,006,0.023075
GuruGranth_page_943.txt,015,0.021421
Bible_page_2088.txt,024,0.752834
Bible_page_2088.txt,013,0.247166
GuruGranth_page_407.txt,001,0.38607
GuruGranth_page_407.txt,012,0.247299
GuruGranth_page_407.txt,006,0.186132
GuruGranth_page_407.txt,004,0.180499
Bible_page_448.txt,013,0.69094
Bible_page_448.txt,027,0.135389
Bible_page_448.txt,005,0.094251
Bible_page_448.txt,011,0.07942
Bible_page_2594.txt,000,0.758117
Bible_page_2594.txt,011,0.180998
Bible_page_2594.txt,003,0.060885
GuruGranth_page_1259.txt,004,0.759346
GuruGranth_page_1259.txt,012,0.173723
GuruGranth_page_1259.txt,001,0.047183
GuruGranth_page_1259.txt,006,0.019748
Bible_page_232.txt,033,0.636942
Bible_page_232.txt,026,0.293038
Bible_page_232.txt,017,0.07002
Bible_page_1932.txt,005,0.912106
Bible_page_1932.txt,022,0.087894
Bible_page_1727.txt,005,0.751484
Bible_page_1727.txt,002,0.123283
Bible_page_1727.txt,000,0.078952
Bible_page_1727.txt,009,0.046281
Bible_page_586.txt,009,1.0
Bible_page_1230.txt,000,0.50167
Bible_page_1230.txt,025,0.212948
Bible_page_1230.txt,027,0.147929
Bible_page_1230.txt,003,0.137453
Bible_page_1389.txt,000,0.868886
Bible_page_1389.txt,025,0.131114
Bible_page_373.txt,009,0.500644
Bible_page_373.txt,017,0.492032
Bible_page_373.txt,003,0.007324
Bible_page_2069.txt,016,0.497355
Bible_page_2069.txt,024,0.346945
Bible_page_2069.txt,000,0.155699
Quran_page_91.txt,030,0.669305
Quran_page_91.txt,008,0.169217
Quran_page_91.txt,017,0.124409
Quran_page_91.txt,000,0.037068
GuruGranth_page_568.txt,004,0.959105
GuruGranth_page_568.txt,006,0.027186
GuruGranth_page_568.txt,007,0.013708
Bible_page_1433.txt,000,1.0
Bible_page_2518.txt,020,0.523556
Bible_page_2518.txt,016,0.316279
Bible_page_2518.txt,003,0.160165
Bible_page_405.txt,019,0.530294
Bible_page_405.txt,017,0.236135
Bible_page_405.txt,015,0.233572
GuruGranth_page_1208.txt,006,0.510681
GuruGranth_page_1208.txt,001,0.24363
GuruGranth_page_1208.txt,021,0.153485
GuruGranth_page_1208.txt,012,0.058932
GuruGranth_page_1208.txt,000,0.033272
Bible_page_2327.txt,024,0.445476
Bible_page_2327.txt,011,0.392618
Bible_page_2327.txt,002,0.116014
Bible_page_2327.txt,000,0.045891
Quran_page_44.txt,030,0.808219
Quran_page_44.txt,003,0.058867
Quran_page_44.txt,010,0.053253
Quran_page_44.txt,001,0.051326
Quran_page_44.txt,008,0.028335
Bible_page_701.txt,029,0.468499
Bible_page_701.txt,018,0.189702
Bible_page_701.txt,000,0.181926
Bible_page_701.txt,008,0.159873
Gita_page_141.txt,007,0.971093
Gita_page_141.txt,030,0.028907
GuruGranth_page_430.txt,006,0.515263
GuruGranth_page_430.txt,001,0.244482
GuruGranth_page_430.txt,021,0.240255
GuruGranth_page_1215.txt,001,0.470107
GuruGranth_page_1215.txt,012,0.358832
GuruGranth_page_1215.txt,021,0.111639
GuruGranth_page_1215.txt,000,0.059422
GuruGranth_page_667.txt,021,0.488047
GuruGranth_page_667.txt,012,0.220692
GuruGranth_page_667.txt,001,0.134423
GuruGranth_page_667.txt,006,0.133183
GuruGranth_page_667.txt,015,0.023655
Bible_page_1887.txt,018,0.603655
Bible_page_1887.txt,010,0.314147
Bible_page_1887.txt,000,0.082198
Bible_page_2514.txt,032,1.0
GuruGranth_page_942.txt,004,0.72025
GuruGranth_page_942.txt,012,0.166011
GuruGranth_page_942.txt,003,0.051792
GuruGranth_page_942.txt,007,0.031906
GuruGranth_page_942.txt,001,0.03004
Bible_page_2600.txt,016,0.934666
Bible_page_2600.txt,000,0.065334
Bible_page_1186.txt,000,0.578942
Bible_page_1186.txt,013,0.325664
Bible_page_1186.txt,027,0.095394
